"lang"
{
	"Language"	"Polish"
		"DOTA_Tooltip_ability_arthas_frostmourne_evasion_chance"                                       "%UNIKANIA:"
		"DOTA_Tooltip_ability_arthas_frostmourne_stun_chance"                                          "%SZANSA NA Ogłuszenie:"
		"DOTA_Tooltip_ability_divine_aura"                                                             "Boska Aura"
		"DOTA_Tooltip_ability_divine_aura_Description"                                                 "Zwiększa prędkość ruchu, współczynnik ataku, pancerz i regenerację życia pobliskich przyjaznych jednostek."
		"DOTA_Tooltip_ability_divine_aura_bat_reduction"                                               "PODSTAWOWY CZAS ATAKU:"
		"DOTA_Tooltip_ability_divine_aura_bonus_movement_speed_percentage"                             "% PRĘDKOŚCI RUCHU:"
		"DOTA_Tooltip_ability_divine_aura_bonus_armor"                                                 "DODATKOWY PANCERZ:"
		"DOTA_Tooltip_ability_divine_aura_bonus_health_regen"                                          "PREMIOWA REGENERACJA ZDROWIA:"
		"DOTA_Tooltip_ability_divine_aura_radius"                                                      "PROMIEŃ:"
		"DOTA_Tooltip_ability_arthas_holy_light"                                                       "Święte Światło"
		"DOTA_Tooltip_ability_arthas_holy_light_Description"                                           "Uzdrawiaj wszystkie sojusznicze jednostki w okolicy Arthas jednocześnie zadając wrogom obrażenia."
		"DOTA_Tooltip_ability_arthas_holy_light_heal"                                                  "LECZ:"
		"DOTA_Tooltip_ability_arthas_holy_light_radius"                                                "PROMIEŃ:"
		"DOTA_Tooltip_ability_arthas_holy_light_health_threshold"                                      "PRÓG %ZDROWIA:"
		"DOTA_Tooltip_ability_arthas_knights_armor"                                                    "Zbroja Rycerska"
		"DOTA_Tooltip_ability_arthas_knights_armor_Description"                                        "Zapewnia dodatkowy pancerz i przywraca celowi obrażenia."
		"DOTA_Tooltip_ability_arthas_knights_armor_damage_return_factor"                               "% ZWROTÓW OBRAŻEŃ:"
		"DOTA_Tooltip_ability_arthas_knights_armor_armor_bonus"                                        "DODATKOWY PANCERZ:"
		"DOTA_Tooltip_ability_arthas_light_roar"                                                       "Awatar"
		"DOTA_Tooltip_ability_arthas_light_roar_Description"                                           "Wyślij Arthas we wściekłość.Zapewnia dodatkowe obrażenia, zbroję i regenerację HP.Trwa 45 sekund."
		"DOTA_Tooltip_ability_arthas_light_roar_bonus_damage_percentage"                               "%DODATKOWE OBRAŻENIA:"
		"DOTA_Tooltip_ability_arthas_light_roar_armor_bonus"                                           "DODATKOWY PANCERZ:"
		"DOTA_Tooltip_ability_arthas_light_roar_hp_regeneration"                                       "PREMIOWA REGENERACJA ZDROWIA:"
		"DOTA_Tooltip_ability_arthas_light_roar_duration"                                              "CZAS TRWANIA:"
		"DOTA_Tooltip_ability_banehallow_stampede"                                                     "Panika"
		"DOTA_Tooltip_ability_banehallow_stampede_Description"                                         "Przywołuje czaszki śmierci, poruszając się przed nimi Banehallow i zadaje ogromne obrażenia przy trafieniu."
		"DOTA_Tooltip_ability_banehallow_stampede_Note0"                                               "Czaszki Śmierci eksplodują, gdy trafią jednostkę."
		"DOTA_Tooltip_ability_banehallow_stampede_damage_per_skull"                                    "OBRAŻENIA CZASZEK:"
		"DOTA_Tooltip_ability_banehallow_stampede_distance"                                            "ODLEGŁOŚĆ POJAWIENIA SIĘ:"
		"DOTA_Tooltip_ability_banehallow_stampede_speed"                                               "PRĘDKOŚĆ CZASZEK:"
		"DOTA_Tooltip_ability_banehallow_stampede_radius_skulls"                                       "PROMIeń CZASZEK:"
		"DOTA_Tooltip_ability_banehallow_stampede_radius"                                              "PROMIeń SPAWNOWANIA:"
		"DOTA_Tooltip_ability_banehallow_stampede_skulls_per_tick"                                     "CZASZKI NA SEK.:"
		"DOTA_Tooltip_ability_command_aura"                                                            "Rozkazuj Aurze"
		"DOTA_Tooltip_ability_command_aura_Description"                                                "Zwiększa procent obrażeń zadawanych przez pobliskich sojuszników."
		"DOTA_Tooltip_ability_command_aura_bonus_damage_percentage"                                    "%DODATKOWE OBRAŻENIA:"
		"DOTA_Tooltip_ability_command_aura_radius"                                                     "PROMIEŃ:"
		"DOTA_Tooltip_ability_creature_chronosphere"                                                   "Chronosfera"
		"DOTA_Tooltip_ability_creature_chronosphere_Description"                                       "Tworzy pęcherz w czasoprzestrzeni, zatrzymując wszystkie jednostki znajdujące się w jego strefie wpływów i powoduje, że bardzo szybko poruszasz się w jej wnętrzu.Tylko Beztwarzowa Pustka i wszystkie kontrolowane przez niego jednostki pozostają nienaruszone.Niewidzialne jednostki w kuli zostaną ujawnione."
		"DOTA_Tooltip_ability_creature_chronosphere_Lore"                                              "Kiedy w Claszureme otworzy się szczelina, wszystkie uwięzione w niej biedne dusze prawdopodobnie nigdy nie wrócą."
		"DOTA_Tooltip_ability_creature_chronosphere_Note0"                                             "Zatrzymuje wszystkie jednostki i budynki, przyjazne i wrogie, z wyjątkiem tych należących do Beztwarzowej Pustki."
		"DOTA_Tooltip_ability_creature_chronosphere_Note1"                                             "Beztwarzowa Pustka nigdy nie podlega wpływowi Chronosfer u żadnego właściciela."
		"DOTA_Tooltip_ability_creature_chronosphere_radius"                                            "PROMIEŃ:"
		"DOTA_Tooltip_ability_creature_chronosphere_duration"                                          "CZAS TRWANIA:"
		"DOTA_Tooltip_ability_holdout_static_remnant"                                                  "Statyczna pozostałość"
		"DOTA_Tooltip_ability_holdout_static_remnant_Description"                                      "Tworzy wybuchowo naładowany obraz Ducha Burzy, który trwa 12 sekund i wybucha i zadaje obrażenia, jeśli wróg zbliży się do niego."
		"DOTA_Tooltip_ability_holdout_static_remnant_Lore"                                             "Dwoistość Raijina Thunderkega pozwala mu podziwiać siebie w szokujący sposób."
		"DOTA_Tooltip_ability_holdout_static_remnant_Note0"                                            "Resztki materializują się po 1 sekundzie od rzucenia zaklęcia."
		"DOTA_Tooltip_ability_holdout_static_remnant_Note1"                                            "Pozostałości zapewniają niezakłócone widzenie na czas ich trwania."
		"DOTA_Tooltip_ability_holdout_static_remnant_Note2"                                            "Eksplozja faktycznie uderza w jednostki w promieniu 260, ale zostanie wywołana dopiero w promieniu 235."
		"DOTA_Tooltip_ability_holdout_static_remnant_static_remnant_damage_radius"                     "PROMIEŃ:"
		"DOTA_Tooltip_ability_holdout_static_remnant_number"                                           "NUMER POZOSTAŁYCH:"
		"DOTA_Tooltip_ability_holdout_static_remnant_static_remnant_damage"                            "OBRAŻENIA:"
		"DOTA_Tooltip_modifier_static_remnant_check"                                                   "Statyczna pozostałość"
		"DOTA_Tooltip_modifier_static_remnant_check_Description"                                       "Czas trwania pozostałości."
		"DOTA_Tooltip_ability_holdout_electric_vortex"                                                 "Elektryczny wir"
		"DOTA_Tooltip_ability_holdout_electric_vortex_Description"                                     "Więzi wszystkie jednostki wroga w okolicy Spirit Master, naciągając je na siebie na krótki czas."
		"DOTA_Tooltip_ability_holdout_electric_vortex_radius"                                          "PROMIEŃ:"
		"DOTA_Tooltip_ability_holdout_electric_vortex_duration"                                        "CZAS TRWANIA:"
		"DOTA_Tooltip_ability_holdout_electric_vortex_damage"                                          "OBRAŻENIA:"
		"DOTA_Tooltip_ability_xhs_spirit_master_overload"                                              "Przeciążenie"
		"DOTA_Tooltip_ability_xhs_spirit_master_overload_Description"                                  "Rzucenie zaklęcia tworzy ładunek elektryczny, który przy następnym ataku zostaje uwolniony w serii, zadając obrażenia, spowalniając pobliskiego wroga i odbijając się."
		"DOTA_Tooltip_ability_xhs_spirit_master_overload_Lore"                                         "Pff!Zamek błyskawiczny!Zastrzelić!"
		"DOTA_Tooltip_ability_xhs_spirit_master_overload_Note0"                                        "Używanie przedmiotów nie wywołuje Przeciążenia."
		"DOTA_Tooltip_ability_xhs_spirit_master_overload_overload_move_slow"                           "%WOLNY RUCH:"
		"DOTA_Tooltip_ability_xhs_spirit_master_overload_overload_attack_slow"                         "WOLNY ATAK:"
		"DOTA_Tooltip_ability_xhs_spirit_master_overload_overload_aoe"                                 "PROMIEŃ:"
		"DOTA_Tooltip_ability_xhs_spirit_master_overload_slow_duration"                                "CZAS WOLNOŚCI:"
		"DOTA_Tooltip_ability_xhs_spirit_master_overload_damage"                                       "OBRAŻENIA:"
		"DOTA_Tooltip_ability_holdout_spirit_int"                                                      "Spirit Master (Ziemia)"
		"DOTA_Tooltip_ability_holdout_spirit_int_Description"                                          "Po krótkim opóźnieniu zmienia formę Ducha na Ducha Ziemi."
		"DOTA_Tooltip_ability_holdout_spirit_str"                                                      "Spirit Master (Żar)"
		"DOTA_Tooltip_ability_holdout_spirit_str_Description"                                          "Po krótkim opóźnieniu zmienia formę ducha na ducha żaru."
		"DOTA_Tooltip_ability_holdout_spirit_agi"                                                      "Spirit Master (Burza)"
		"DOTA_Tooltip_ability_holdout_spirit_agi_Description"                                          "Po krótkim opóźnieniu zmienia formę Ducha na Ducha Burzy."
		"DOTA_Tooltip_ability_holdout_enhanced_spirit"                                                 "Wzmocnione duchy"
		"DOTA_Tooltip_ability_holdout_enhanced_spirit_Description"                                     "Zwiększa obrażenia od zaklęć Ducha Burzy, zapewnia rozszczepienie Ducha Żaru i regenerację Zdrowia Ducha Ziemi."
		"DOTA_Tooltip_ability_holdout_enhanced_spirit_spell_amp"                                       "%WZMACNIACZ ZAklęciów:"
		"DOTA_Tooltip_ability_holdout_enhanced_spirit_cleave_pct"                                      "OBRAŻENIA % ROZCIĄGANIA (Żar):"
		"DOTA_Tooltip_ability_holdout_enhanced_spirit_radius"                                          "PROMIeń ROZCIĘCIA (Żar):"
		"DOTA_Tooltip_ability_holdout_enhanced_spirit_health_regen"                                    "REGENERACJA ZDROWIA (Ziemia):"
		"DOTA_Tooltip_ability_creature_primal_split"                                                   "Pierwotny podział"
		"DOTA_Tooltip_ability_creature_primal_split_Description"                                       "Po śmierci uwalnia 3 duchy."
		"DOTA_Tooltip_ability_holdout_battlecry_alt"                                                   "Okrzyk Bojowy"
		"DOTA_Tooltip_ability_holdout_battlecry_alt_Lore"                                              "Kiedy Sylla płacze w lesie, pogłos jest odczuwalny z dużej odległości."
		"DOTA_Tooltip_ability_holdout_battlecry_alt_Description"                                       "Dodaje obrażenia od ataku i pancerz Samotnemu Druidowi oraz pobliskim jednostkom pod jego kontrolą."
		"DOTA_Tooltip_ability_holdout_battlecry_alt_bonus_damage"                                      "DODATKOWE OBRAŻENIA:"
		"DOTA_Tooltip_ability_holdout_battlecry_alt_bonus_armor"                                       "DODATKOWY PANCERZ:"
		"DOTA_Tooltip_ability_holdout_rabid_alt"                                                       "Wściekły"
		"DOTA_Tooltip_ability_holdout_rabid_alt_Lore"                                                  "Niedźwiedzie nie są powszechnie postrzegane jako zwinne stworzenia, ale w rzeczywistości potrafią poruszać się dość szybko, zwłaszcza gdy są wściekłe."
		"DOTA_Tooltip_ability_holdout_rabid_alt_Description"                                           "Zwiększa atak i prędkość ruchu Samotnego Druida i Duchowego Niedźwiedzia."
		"DOTA_Tooltip_ability_holdout_rabid_alt_bonus_attack_speed"                                    "SZYBKOŚĆ ATAKU:"
		"DOTA_Tooltip_ability_holdout_rabid_alt_bonus_movement_speed_percentage"                       "% PRĘDKOŚCI RUCHU:"
		"DOTA_Tooltip_ability_holdout_battlecry_alt2"                                                  "Okrzyk Bojowy"
		"DOTA_Tooltip_ability_holdout_battlecry_alt2_Lore"                                             "Kiedy Sylla płacze w lesie, pogłos jest odczuwalny z dużej odległości."
		"DOTA_Tooltip_ability_holdout_battlecry_alt2_Description"                                      "Dodaje obrażenia od ataku i pancerz Samotnemu Druidowi oraz pobliskim jednostkom pod jego kontrolą."
		"DOTA_Tooltip_ability_holdout_battlecry_alt2_bonus_damage"                                     "DODATKOWE OBRAŻENIA:"
		"DOTA_Tooltip_ability_holdout_battlecry_alt2_bonus_armor"                                      "DODATKOWY PANCERZ:"
		"DOTA_Tooltip_ability_holdout_rabid_alt2"                                                      "Wściekły"
		"DOTA_Tooltip_ability_holdout_rabid_alt2_Lore"                                                 "Niedźwiedzie nie są powszechnie postrzegane jako zwinne stworzenia, ale w rzeczywistości potrafią poruszać się dość szybko, zwłaszcza gdy są wściekłe."
		"DOTA_Tooltip_ability_holdout_rabid_alt2_Description"                                          "Zwiększa atak i prędkość ruchu Samotnego Druida i Duchowego Niedźwiedzia."
		"DOTA_Tooltip_ability_holdout_rabid_alt2_bonus_attack_speed"                                   "SZYBKOŚĆ ATAKU:"
		"DOTA_Tooltip_ability_holdout_rabid_alt2_bonus_movement_speed_percentage"                      "% PRĘDKOŚCI RUCHU:"
		"DOTA_Tooltip_ability_holdout_distance_aura_tooltip"                                           "Aura dystansu"
		"DOTA_Tooltip_ability_holdout_distance_aura_tooltip_Description"                               "Wszyscy sojuszniczy bohaterowie otrzymują dodatkowy zasięg ataku."
		"DOTA_Tooltip_ability_holdout_distance_aura_tooltip_bonus_attack_range"                        "DODATKOWY ZASIĘG ATAKU:"
		"npc_dota_hero_razor"                                                                          "Duch Revenant"
		"npc_dota_hero_razor_bis"                                                                      "Duch Revenant"
		"DOTA_Tooltip_ability_ghost_revenant_blackjack"                                                "Blackjacka"
		"DOTA_Tooltip_ability_ghost_revenant_blackjack_Description"                                    "Wystrzeliwuje 3 kule w równoległej linii, z których każda porusza się z szybkością 800 jednostek na sekundę.Te kule zadają obrażenia i ogłuszają wszystkie jednostki złapane na końcu obszaru działania."
		"DOTA_Tooltip_ability_ghost_revenant_blackjack_stun_duration"                                  "CZAS Ogłuszenia:"
		"DOTA_Tooltip_ability_ghost_revenant_blackjack_damage"                                         "OBRAŻENIA:"
		"DOTA_Tooltip_ability_ghost_revenant_blackjack_projectile_radius"                              "PROMIeń POCZUCIA:"
		"DOTA_Tooltip_ability_ghost_revenant_blackjack_projectile_length"                              "DŁUGOŚĆ POcisku:"
		"DOTA_Tooltip_ability_ghost_revenant_blackjack_projectile_speed"                               "PRĘDKOŚĆ POCISKU:"
		"DOTA_Tooltip_ability_ghost_revenant_blackjack_projectile_amount"                              "LICZBA POcisków:"
		"DOTA_Tooltip_ability_ghost_revenant_blackjack_projectile_vision"                              "WIZJA POCISKOWA:"
		"DOTA_Tooltip_ability_ghost_revenant_wraith"                                                   "Widmo"
		"DOTA_Tooltip_ability_ghost_revenant_wraith_Description"                                       "Wprowadza bohatera w stan eteryczny na x sekund, jednocześnie zwiększając MS."
		"DOTA_Tooltip_ability_ghost_revenant_wraith_res_reduction_pct"                                 "%REDUKCJA ODPORNOŚCI NA MAGIĘ:"
		"DOTA_Tooltip_ability_ghost_revenant_wraith_bonus_ms_pct"                                      "%DODATKOWA PRĘDKOŚĆ RUCHU:"
		"DOTA_Tooltip_ability_ghost_revenant_wraith_duration"                                          "CZAS TRWANIA:"
		"DOTA_Tooltip_ability_ghost_revenant_miasma"                                                   "Miazma"
		"DOTA_Tooltip_ability_ghost_revenant_miasma_Description"                                       "Zadaje obrażenia wszystkim jednostkom wroga w obszarze x i nakłada wzmocnienie.To wzmocnienie ujawnia niewidzialne jednostki i zadaje obrażenia w czasie."
		"DOTA_Tooltip_ability_ghost_revenant_miasma_area_of_effect"                                    "OBSZAR DZIAŁANIA:"
		"DOTA_Tooltip_ability_ghost_revenant_miasma_tick"                                              "TYKNIJ CZAS:"
		"DOTA_Tooltip_ability_ghost_revenant_miasma_duration"                                          "CZAS TRWANIA:"
		"DOTA_Tooltip_ability_ghost_revenant_miasma_dmg_per_sec"                                       "OBRAŻENIA NA SEK.:"
		"DOTA_Tooltip_ability_ghost_revenant_miasma_dmg_pct_per_sec"                                   "%ZDROWIA JAKO OBRAŻENIA NA SEK.:"
		"DOTA_Tooltip_ability_ghost_revenant_ghost_immolation"                                         "Ofiara ducha"
		"DOTA_Tooltip_ability_ghost_revenant_ghost_immolation_Description"                             "Zadaje obrażenia wrogom w promieniu 400 jednostek, zadając obrażenia %health_as_damage_pct%% zdrowia celu na sekundę."
		"DOTA_Tooltip_ability_ghost_revenant_ghost_immolation_radius"                                  "PROMIEŃ:"
		"DOTA_Tooltip_ability_ghost_revenant_ghost_immolation_tick_time"                               "TYKNIJ CZAS:"
		"DOTA_Tooltip_ability_ghost_revenant_ghost_immolation_health_as_damage_pct"                    "%ZDROWIA JAKO OBRAŻEŃ:"
		"DOTA_Tooltip_ability_ghost_revenant_exhaustion"                                               "Wyczerpanie"
		"DOTA_Tooltip_ability_ghost_revenant_exhaustion_Description"                                   "Zmniejsza prędkość ruchu wszystkich wrogich jednostek na mapie."
		"DOTA_Tooltip_ability_ghost_revenant_exhaustion_ms_reduction_pct"                              "% PRĘDKOŚCI RUCHU:"
		"DOTA_Tooltip_ability_ghost_revenant_exhaustion_duration"                                      "CZAS TRWANIA:"
		"DOTA_Tooltip_ability_holdout_empower"                                                         "Wzmocnij"
		"DOTA_Tooltip_ability_holdout_empower_Description"                                             "Dotacje %cleave_pct%% rozszczepienia i dodatkowe obrażenia zadawane sojuszniczym bohaterom."
		"DOTA_Tooltip_ability_holdout_empower_bonus_damage_percentage"                                 "%DODATKOWE OBRAŻENIA:"
		"DOTA_Tooltip_ability_holdout_empower_aura_radius"                                             "PROMIeń AURY:"
		"DOTA_Tooltip_ability_magnataur_skewer_winter"                                                 "Szpikulec"
		"DOTA_Tooltip_ability_magnataur_skewer_winter_Description"                                     "Szarżuj w wybranym kierunku, przebijając wszystkich wrogów po drodze, ciągnąc ich ze sobą do celu, zadając obrażenia i spowalniając ich. <br>Zysk %strength_gain% siła dla %strength_gain_duration% sekundy."
		"DOTA_Tooltip_modifier_frostivus2018_magnataur_skewer_bonus_strength"                          "Bonusowa siła"
		"DOTA_Tooltip_modifier_frostivus2018_magnataur_skewer_bonus_strength_Description"              "Dotacje %strength_gain% dodatkowa siła."
		"DOTA_Tooltip_ability_holdout_spiked_carapace_arthas"                                          "Kolczasty pancerz"
		"DOTA_Tooltip_ability_holdout_spiked_carapace_arthas_Description"                              "Zwraca procent obrażeń zadanych atakującemu.Zadaje bohaterom różne obrażenia."
		"DOTA_Tooltip_ability_holdout_spiked_carapace_arthas_hero_return_percent"                      "OBRAŻENIA POWROTU %BOHATERA:"
		"DOTA_Tooltip_ability_holdout_spiked_carapace_arthas_creep_return_percent"                     "OBRAŻENIA POWROTU %CREEP:"
		"DOTA_Tooltip_ability_holdout_spiked_carapace_arthas_bonus_armor"                              "DODATKOWY PANCERZ:"
		"DOTA_Tooltip_ability_xhs_centurion_necromastery"                                              "Nekromistrzostwo"
		"DOTA_Tooltip_ability_xhs_centurion_necromastery_Description"                                  "Przechowuje dusze zabitych wrogów, zwiększając obrażenia od ataku."
		"DOTA_Tooltip_ability_xhs_centurion_necromastery_necromastery_damage_per_soul"                 "OBRAŻENIA NA DUSZĘ:"
		"DOTA_Tooltip_ability_xhs_centurion_necromastery_necromastery_max_souls"                       "MAKSYMALNE DUSZE:"
		"DOTA_Tooltip_ability_xhs_centurion_atrophy_aura"                                              "Atrofia aury"
		"DOTA_Tooltip_ability_xhs_centurion_atrophy_aura_Description"                                  "Pobliscy wrogowie zadają zmniejszone obrażenia od ataku.Śmierć wroga w pobliżu zapewnia tymczasowe dodatkowe obrażenia."
		"DOTA_Tooltip_ability_xhs_centurion_atrophy_aura_radius"                                       "PROMIEŃ:"
		"DOTA_Tooltip_ability_xhs_centurion_atrophy_aura_damage_reduction_pct"                         "% REDUKCJI OBRAŻEŃ:"
		"DOTA_Tooltip_ability_xhs_centurion_atrophy_aura_bonus_damage_from_creep"                      "DODATKOWE OBRAŻENIA CREEP:"
		"DOTA_Tooltip_ability_xhs_centurion_atrophy_aura_bonus_damage_from_hero"                       "DODATKOWE OBRAŻENIA BOHATERA:"
		"DOTA_Tooltip_ability_xhs_centurion_atrophy_aura_bonus_damage_duration"                        "CZAS TRWANIA:"
		"DOTA_Tooltip_ability_xhs_kobold_poof"                                                         "Puf"
		"DOTA_Tooltip_ability_xhs_kobold_poof_Description"                                             "Teleportuje się do wybranego punktu lub sojuszniczego bohatera, zadając obrażenia wrogom na początku i w miejscu docelowym."
		"DOTA_Tooltip_ability_xhs_kobold_poof_radius"                                                  "PROMIEŃ:"
		"DOTA_Tooltip_ability_xhs_kobold_poof_poof_damage"                                             "OBRAŻENIA:"
		"DOTA_Tooltip_ability_xhs_stone_giant_earth_splitter"                                          "Rozdzielacz Ziemi"
		"DOTA_Tooltip_ability_xhs_stone_giant_earth_splitter_Description"                              "Dzieli ziemię długą linią.Po pewnym czasie trafieni wrogowie otrzymują obrażenia zależne od maksymalnego zdrowia i zostają spowolnieni."
		"DOTA_Tooltip_ability_xhs_stone_giant_earth_splitter_crack_time"                               "OPÓŹNIENIE:"
		"DOTA_Tooltip_ability_xhs_stone_giant_earth_splitter_crack_width"                              "SZEROKOŚĆ:"
		"DOTA_Tooltip_ability_xhs_stone_giant_earth_splitter_crack_distance"                           "ODLEGŁOŚĆ:"
		"DOTA_Tooltip_ability_xhs_stone_giant_earth_splitter_slow_pct"                                 "%WOLNE:"
		"DOTA_Tooltip_ability_xhs_stone_giant_earth_splitter_slow_duration"                            "CZAS WOLNOŚCI:"
		"DOTA_Tooltip_ability_xhs_stone_giant_earth_splitter_damage_pct"                               "OBRAŻENIA % MAKSYMALNEGO ZDROWIA:"
		"DOTA_Tooltip_ability_xhs_spirit_master_ball_lightning"                                        "Kulista błyskawica"
		"DOTA_Tooltip_ability_xhs_spirit_master_ball_lightning_Description"                            "Przekształca się w ulotną energię elektryczną, przemieszczając się do celu i zadając obrażenia napotkanym wrogom."
		"DOTA_Tooltip_ability_xhs_spirit_master_ball_lightning_ball_lightning_move_speed"              "PRĘDKOŚĆ RUCHU:"
		"DOTA_Tooltip_ability_xhs_spirit_master_ball_lightning_ball_lightning_aoe"                     "PROMIEŃ:"
		"DOTA_Tooltip_ability_xhs_spirit_master_ball_lightning_ball_lightning_initial_mana_percentage" "% POCZĄTKOWEJ MANY:"
		"DOTA_Tooltip_ability_xhs_spirit_master_ball_lightning_ball_lightning_travel_cost_percent"     "%MANA PODRÓŻY:"
		"DOTA_Tooltip_ability_xhs_stone_giant_stone_gaze"                                              "Kamienne spojrzenie"
		"DOTA_Tooltip_ability_xhs_stone_giant_stone_gaze_Description"                                  "Spowalnia pobliskich wrogów.Wrogowie, którzy wystarczająco długo stoją twarzą w twarz z Kamiennym Gigantem, ulegają skamieniałości i otrzymują zwiększone obrażenia fizyczne."
		"DOTA_Tooltip_ability_xhs_stone_giant_stone_gaze_radius"                                       "PROMIEŃ:"
		"DOTA_Tooltip_ability_xhs_stone_giant_stone_gaze_duration"                                     "CZAS TRWANIA:"
		"DOTA_Tooltip_ability_xhs_stone_giant_stone_gaze_slow"                                         "%WOLNE:"
		"DOTA_Tooltip_ability_xhs_stone_giant_stone_gaze_stone_duration"                               "CZAS PETRYFIKACJI:"
		"DOTA_Tooltip_ability_xhs_stone_giant_stone_gaze_face_duration"                                "CZAS TRWANIA TWARZY:"
		"DOTA_Tooltip_ability_xhs_stone_giant_stone_gaze_bonus_physical_damage"                        "% USZKODZEŃ FIZYCZNYCH:"
		"DOTA_Tooltip_ability_xhs_creep_blood_hunger"                                                  "Głód krwi"
		"DOTA_Tooltip_ability_xhs_creep_blood_hunger_Description"                                      "Ataki przywracają zdrowie na podstawie zadanych obrażeń."
		"DOTA_Tooltip_ability_xhs_creep_blood_hunger_lifesteal_pct"                                    "%KRADZIEŻ ŻYCIA:"
		"DOTA_Tooltip_ability_xhs_creep_heavy_hide"                                                    "Ciężka skóra"
		"DOTA_Tooltip_ability_xhs_creep_heavy_hide_Description"                                        "Zmniejsza otrzymywane obrażenia."
		"DOTA_Tooltip_ability_xhs_creep_heavy_hide_damage_reduction_pct"                               "% REDUKCJI OBRAŻEŃ:"
		"DOTA_Tooltip_ability_xhs_creep_ricochet"                                                      "Księżycowa Glewia"
		"DOTA_Tooltip_ability_xhs_creep_ricochet_Description"                                          "Ataki rozpryskują się wokół głównego celu."
		"DOTA_Tooltip_ability_xhs_creep_ricochet_cleave_pct"                                           "% OBRAŻEŃ ROZBRYTKOWYCH:"
		"DOTA_Tooltip_ability_xhs_creep_ricochet_splash_radius"                                        "PROMIeń rozprysku:"
		"DOTA_Tooltip_ability_xhs_creep_dragon_blood"                                                  "Smocza Krew"
		"DOTA_Tooltip_ability_xhs_creep_dragon_blood_Description"                                      "Zapewnia zbroję i maksymalną regenerację zdrowia."
		"DOTA_Tooltip_ability_xhs_creep_dragon_blood_bonus_armor"                                      "DODATKOWY PANCERZ:"
		"DOTA_Tooltip_ability_xhs_creep_dragon_blood_regen_pct"                                        "%MAKSYMALNA REGENERACJA ZDROWIA NA SEKUNDĘ:"
		"DOTA_Tooltip_ability_xhs_creep_double_tap"                                                    "Kliknij dwukrotnie"
		"DOTA_Tooltip_ability_xhs_creep_double_tap_Description"                                        "Ataki mogą zadać dodatkowe trafienie fizyczne."
		"DOTA_Tooltip_ability_xhs_creep_double_tap_proc_chance"                                        "SZANSA %PROC:"
		"DOTA_Tooltip_ability_xhs_creep_double_tap_proc_damage_pct"                                    "%DODATKOWE OBRAŻENIA PRZY UDERZENIU:"
		"DOTA_Tooltip_ability_xhs_creep_berserker_blood"                                               "Krew Berserkera"
		"DOTA_Tooltip_ability_xhs_creep_berserker_blood_Description"                                   "Zwiększa prędkość ataku proporcjonalnie do brakującego zdrowia."
		"DOTA_Tooltip_ability_xhs_creep_berserker_blood_low_health_attack_speed"                       "MAKSYMALNA PRĘDKOŚĆ ATAKU:"
		"DOTA_Tooltip_ability_xhs_creep_fury_swipes"                                                   "Zamachy Furii"
		"DOTA_Tooltip_ability_xhs_creep_fury_swipes_Description"                                       "Ataki każdej jednostki z Zamachami Furii dodają jeden wspólny ładunek na celu, zadając zwiększone obrażenia fizyczne."
		"DOTA_Tooltip_ability_xhs_creep_fury_swipes_damage_per_stack"                                  "OBRAŻENIA NA ładunek:"
		"DOTA_Tooltip_ability_xhs_creep_fury_swipes_stack_duration"                                    "CZAS TRWANIA STOSU:"
		"DOTA_Tooltip_ability_xhs_creep_frost_arrows"                                                  "Mroźne Strzały"
		"DOTA_Tooltip_ability_xhs_creep_frost_arrows_Description"                                      "Ataki spowalniają ruch celu i prędkość ataku."
		"DOTA_Tooltip_ability_xhs_creep_frost_arrows_slow_pct"                                         "%WOLNY RUCH:"
		"DOTA_Tooltip_ability_xhs_creep_frost_arrows_attack_slow"                                      "ZWOLNIENIE PRĘDKOŚCI ATAKU:"
		"DOTA_Tooltip_ability_xhs_creep_frost_arrows_debuff_duration"                                  "CZAS WOLNOŚCI:"
		"DOTA_Tooltip_ability_xhs_creep_headshot"                                                      "Strzał w głowę"
		"DOTA_Tooltip_ability_xhs_creep_headshot_Description"                                          "Ataki mogą zadawać dodatkowe obrażenia fizyczne."
		"DOTA_Tooltip_ability_xhs_creep_headshot_proc_chance"                                          "SZANSA %PROC:"
		"DOTA_Tooltip_ability_xhs_creep_headshot_proc_damage_pct"                                      "%DODATKOWE OBRAŻENIA:"
		"DOTA_Tooltip_ability_xhs_creep_plague_cloud"                                                  "Chmura Zarazy"
		"DOTA_Tooltip_ability_xhs_creep_plague_cloud_Description"                                      "Zadaje pobliskim wrogom obrażenia co sekundę w oparciu o obrażenia od ataku."
		"DOTA_Tooltip_ability_xhs_creep_plague_cloud_aura_radius"                                      "PROMIEŃ:"
		"DOTA_Tooltip_ability_xhs_creep_plague_cloud_aura_dot_damage_pct"                              "% OBRAŻEŃ ATAKU NA SEKUNDĘ:"
		"DOTA_Tooltip_ability_xhs_creep_endurance"                                                     "Wytrzymałość"
		"DOTA_Tooltip_ability_xhs_creep_endurance_Description"                                         "Zwiększa prędkość ataku pobliskich sojuszników."
		"DOTA_Tooltip_ability_xhs_creep_endurance_aura_radius"                                         "PROMIEŃ:"
		"DOTA_Tooltip_ability_xhs_creep_endurance_aura_attack_speed"                                   "DODATKOWA PRĘDKOŚĆ ATAKU:"
