"lang"
{
	"Language"	"Turkish"
		"DOTA_Tooltip_ability_pugna_life_drain_Lore"                                                      "Büyücü gerçekten Oblivion'un büyük ustasından bile daha güçlü hale geldi."
		"DOTA_Tooltip_ability_pugna_life_drain_Note0"                                                     "HP'nin boşaltılması, verilen gerçek hasara bağlıdır."
		"DOTA_Tooltip_ability_pugna_life_drain_Note1"                                                     "İlk hasar anında illüzyonlar yok edilir."
		"DOTA_Tooltip_ability_pugna_life_drain_health_drain"                                              "SANİYEDE BOŞALTMA:"
		"DOTA_Tooltip_ability_pugna_life_drain_cast_range_tooltip"                                        "KULLANIM MENZİLİ:"
		"DOTA_Tooltip_ability_pugna_life_drain_duration_tooltip"                                          "MAKS SÜRE:"
		"DOTA_Tooltip_ability_holdout_jingu_mastery"                                                      "Jingu Ustalığı"
		"DOTA_Tooltip_ability_holdout_jingu_mastery_Description"                                          "Sonraki birkaç saldırı için can çalma sağlar.10 saniye sürer"
		"DOTA_Tooltip_ability_holdout_jingu_mastery_required_hits"                                        "GEREKLİ VURUŞLAR:"
		"DOTA_Tooltip_ability_holdout_jingu_mastery_counter_duration"                                     "SÜRE:"
		"DOTA_Tooltip_ability_holdout_jingu_mastery_bonus_damage"                                         "%BONUS HASAR:"
		"DOTA_Tooltip_ability_holdout_jingu_mastery_charges"                                              "ÜCRETLER:"
		"DOTA_Tooltip_ability_holdout_jingu_mastery_lifesteal"                                            "%CAN ÇALMA:"
		"DOTA_Tooltip_ability_holdout_jingu_mastery_duration"                                             "SÜRE:"
		"DOTA_Tooltip_modifier_jingu_mastery_passive"                                                     "Jingu Ustalığı"
		"DOTA_Tooltip_modifier_jingu_mastery_passive_Description"                                         "Saldırılarda can çalma."
		"DOTA_Tooltip_ability_holdout_monkey_king_bar"                                                    "Maymun Kral Barı"
		"DOTA_Tooltip_ability_holdout_monkey_king_bar_Description"                                        "Her saldırıya ilave hasar verme ve mini sersemletme şansı verir."
		"DOTA_Tooltip_ability_holdout_monkey_king_bar_stun_duration"                                      "ŞOKLAMA SÜRESİ:"
		"DOTA_Tooltip_ability_holdout_monkey_king_bar_bonus_damage_stun"                                  "DARBE HASARI:"
		"DOTA_Tooltip_ability_holdout_monkey_king_bar_stun_chance"                                        "%Sersemletme Şansı:"
		"DOTA_Tooltip_modifier_monkey_king_bar"                                                           "Maymun Kral Barı"
		"DOTA_Tooltip_modifier_monkey_king_bar_Description"                                               "Saldırılarınızın kaybolmasını engeller.True Strike, düşman yapılarına saldırırken çalışmaz."
		"DOTA_Tooltip_ability_holdout_wukong_army"                                                        "Wukong'un Ordusu"
		"DOTA_Tooltip_ability_holdout_wukong_army_Description"                                            "Fiziksel hasara karşı bağışıklık kazandıran ve yakındaki müttefiklerin can puanı yenilenmesini büyük ölçüde artıran Muhafız Çağırır.Muhafızlar yakındaki düşman birimleriyle savaşacak ancak hiçbir oyuncu tarafından kontrol edilemez."
		"DOTA_Tooltip_ability_holdout_wukong_army_Lore"                                                   "Her Şeyi Gören, Purist'in dost dediği kişilere karşı korumasını bir kenara bırakır."
		"DOTA_Tooltip_ability_holdout_wukong_army_Note0"                                                  "Büyü bağışıklığına sahip müttefikleri etkiler."
		"DOTA_Tooltip_ability_holdout_wukong_army_Note1"                                                  "Temizlenebilir."
		"DOTA_Tooltip_ability_holdout_wukong_army_duration"                                               "SÜRE:"
		"DOTA_Tooltip_ability_holdout_wukong_army_health_regen"                                           "SAĞLIK YENİLENMESİ:"
		"DOTA_Tooltip_ability_holdout_wukong_army_radius"                                                 "YARIÇAP:"
		"DOTA_Tooltip_ability_holdout_wukong_army_angel_damage"                                           "MELEK HASARI:"
		"DOTA_Tooltip_ability_holdout_wukong_army_notes"                                                  "Notlar:\n\nBüyü Bağışıklığına sahip müttefikleri etkiler."
		"DOTA_Tooltip_ability_axe_battle_rage"                                                            "Savaş Öfkesi"
		"DOTA_Tooltip_ability_axe_battle_rage_Description"                                                "Hedef müttefik birimi Savaş Öfkesine gönderir.Battle Rage'den etkilendiğinde, o birimin verdiği tüm hasar can çalar."
		"DOTA_Tooltip_ability_axe_battle_rage_Lore"                                                       "Moğol Han'ın öfkesi onu korkunç vahşet ve yıkım eylemlerine sürükler."
		"DOTA_Tooltip_ability_axe_battle_rage_duration"                                                   "SÜRE:"
		"DOTA_Tooltip_ability_axe_battle_rage_heal_multiplier"                                            "%CAN ÇALMA:"
		"DOTA_Tooltip_axe_battle_rage_modifier"                                                           "Savaş Öfkesi"
		"DOTA_Tooltip_axe_battle_rage_modifier_Description"                                               "Can Çalma verir."
		"DOTA_Tooltip_ability_holdout_culling_blade"                                                      "Yukarıdan Bir Kesim"
		"DOTA_Tooltip_ability_holdout_culling_blade_Description"                                          "<font color='#70EA72'>Axe savaşa doğru atılır.Axe yere indiğinde konumunun etrafındaki küçük bir alandaki tüm düşmanlara saldırı yapar.</font>  Bir düşman öldürme eşiğinin altındaysa ölür ve Axe kendisine ve yakındaki müttefiklere geçici bir hız bonusu verir."
		"DOTA_Tooltip_ability_holdout_culling_blade_Lore"                                                 "Mogul Khan, savaş ve öfkenin vücut bulmuş halidir; savaşta Baltayı kullanmaya cesaret edenlere karşı korkunç bir ölüme doğru yola çıkar."
		"DOTA_Tooltip_ability_holdout_culling_blade_Note0"                                                "Öldürücü darbe büyü bağışıklığından geçer."
		"DOTA_Tooltip_ability_holdout_culling_blade_leap_distance"                                        "<font color='#70EA72'>Sıçrama mesafesi:</font>"
		"DOTA_Tooltip_ability_holdout_culling_blade_radius"                                               "<font color='#70EA72'>YARIÇAP:</font>"
		"DOTA_Tooltip_ability_holdout_culling_blade_kill_threshold"                                       "ÖLDÜRME EŞİĞİ:"
		"DOTA_Tooltip_ability_holdout_culling_blade_kill_threshold_scepter"                               "SCEPTER'LI ÖLDÜRME EŞİĞİ:"
		"DOTA_Tooltip_ability_holdout_culling_blade_damage"                                               "HASAR:"
		"DOTA_Tooltip_ability_holdout_culling_blade_speed_bonus"                                          "% HIZ BONUSU:"
		"DOTA_Tooltip_ability_holdout_culling_blade_speed_aoe"                                            "HIZ YARIÇAPI:"
		"DOTA_Tooltip_ability_holdout_culling_blade_speed_duration"                                       "HIZ SÜRESİ:"
		"DOTA_Tooltip_ability_holdout_devour"                                                             "yutmak"
		"DOTA_Tooltip_ability_holdout_devour_Description"                                                 "Bir düşmanı veya tarafsız yaratığı tüketerek sahip olduğu tüm özel yetenekleri kazanır."
		"DOTA_Tooltip_ability_holdout_devour_Lore"                                                        "Lucifer'in iştahı ve açgözlülüğü asla doymaz."
		"DOTA_Tooltip_ability_holdout_devour_Note0"                                                       "Doom'a yaratıkların orijinal ödülünün yanı sıra bonus altını da verir."
		"DOTA_Tooltip_ability_holdout_devour_Note1"                                                       "Yutmak için gereken süre, birimin mevcut HP'sine bağlıdır."
		"DOTA_Tooltip_ability_holdout_devour_Note2"                                                       "Doom, mekanik veya antik birimleri yutamaz."
		"DOTA_Tooltip_ability_holdout_devour_Note3"                                                       "Yetenekleri olmayan bir yaratığı yerseniz, daha önce sahip olduğunuz yetenekleri korursunuz."
		"DOTA_Tooltip_ability_holdout_devour_bonus_gold"                                                  "BONUS ALTIN:"
		"DOTA_Tooltip_ability_holdout_spellsteal"                                                         "Büyü Çalma"
		"DOTA_Tooltip_ability_holdout_spellsteal_Description"                                             "Birimlere verilen Büyüsel Hasara dayalı olarak Sağlık verir."
		"DOTA_Tooltip_ability_holdout_spellsteal_hero_lifesteal"                                          "%KAHRAMAN BÜYÜ ÇALMASI:"
		"DOTA_Tooltip_ability_holdout_spellsteal_creep_lifesteal"                                         "%CREEP BÜYÜ ÇALMASI:"
		"DOTA_Tooltip_ability_holdout_bristleback"                                                        "Kıl sırtlı"
		"DOTA_Tooltip_ability_holdout_bristleback_Description"                                            "Bristleback yanlardan veya arkadan vurulduğunda daha az hasar alır.Eğer Bristleback alırsa %quill_release_threshold% arkadan hasar alırsa mevcut seviyedeki Tüy Spreyini serbest bırakır. \n<font color='#FFFF00'>Quill Sprey ön hasardan bile tetiklenecektir.</font>"
		"DOTA_Tooltip_ability_holdout_bristleback_Lore"                                                   "Dikkatli olun, tank geri döndü."
		"DOTA_Tooltip_ability_holdout_bristleback_Note0"                                                  "Bristleback'in arkasının arkadan 70 derecelik bir mesafe içinde olduğu kabul edilir."
		"DOTA_Tooltip_ability_holdout_bristleback_Note1"                                                  "Bristleback'in tarafının arkadan 110 derece uzakta olduğu kabul edilir."
		"DOTA_Tooltip_ability_holdout_bristleback_side_damage_reduction"                                  "%YAN HASAR AZALTILMASI:"
		"DOTA_Tooltip_ability_holdout_bristleback_back_damage_reduction"                                  "GERİ HASAR AZALTIMI:"
		"DOTA_Tooltip_ability_holdout_bristleback_quill_release_threshold"                                "HASAR EŞİĞİ:"
		"DOTA_Tooltip_ability_imba_sven_storm_bolt"                                                       "Bristle'ın Lansmanı"
		"DOTA_Tooltip_ability_imba_sven_storm_bolt_Description"                                           "Bristleback düşmana doğru fırlayarak yakındaki birimlere hasar verir ve onları sersemletir."
		"DOTA_Tooltip_ability_imba_sven_storm_bolt_Note0"                                                 "Mermi hareket ederken Bristleback tamamen zarar görmez olacaktır."
		"DOTA_Tooltip_ability_imba_sven_storm_bolt_damage"                                                "HASAR:"
		"DOTA_Tooltip_ability_imba_sven_storm_bolt_radius"                                                "HASAR YARIÇAPI:"
		"DOTA_Tooltip_ability_imba_sven_storm_bolt_duration"                                              "ŞOKLAMA SÜRESİ:"
		"DOTA_Tooltip_ability_holdout_red_effect"                                                         "Kırmızı Alevler"
		"DOTA_Tooltip_ability_holdout_blue_effect"                                                        "Donmuş Alevler"
		"DOTA_Tooltip_ability_holdout_green_effect"                                                       "Yeşil Alevler"
		"npc_dota_hero_skeleton_king"                                                                     "Lich King"
		"npc_dota_hero_abyssal_underlord"                                                                 "Çukur Lordu"
		"npc_dota_hero_brewmaster"                                                                        "Pandaren Bira Ustası"
		"npc_dota_hero_chaos_knight"                                                                      "Koyu Temel"
		"npc_dota_hero_chen"                                                                              "Baş heykel"
		"npc_dota_hero_crystal_maiden"                                                                    "Başbüyücü"
		"npc_dota_hero_dragon_knight"                                                                     "Arthas"
		"npc_dota_hero_earth_spirit"                                                                      "Spirit Master (Dünya)"
		"npc_dota_hero_ember_spirit"                                                                      "Spirit Master (Ateş)"
		"npc_dota_hero_elder_titan"                                                                       "Tauren Şefi"
		"npc_dota_hero_enchantress"                                                                       "Orman Perisi"
		"npc_dota_hero_nevermore"                                                                         "Banehallow"
		"npc_dota_hero_invoker"                                                                           "Kan Büyücüsü"
		"npc_dota_hero_lina"                                                                              "büyücü"
		"npc_dota_hero_lone_druid"                                                                        "Canavar Ustası"
		"npc_dota_hero_keeper_of_the_light"                                                               "Hafif Temel"
		"npc_dota_hero_luna"                                                                              "Avcı"
		"npc_dota_hero_juggernaut"                                                                        "Kılıç ustası"
		"npc_dota_hero_meepo"                                                                             "Kobold Şövalyesi"
		"npc_dota_hero_mirana"                                                                            "Ay Rahibesi"
		"npc_dota_hero_necrolyte"                                                                         "Kara Sihirdar"
		"npc_dota_hero_nyx_assassin"                                                                      "Mahzen Lordu"
		"npc_dota_hero_omniknight"                                                                        "Şövalye"
		"npc_dota_hero_phantom_assassin"                                                                  "gardiyan"
		"npc_dota_hero_pugna"                                                                             "Dehşet Tanrısı"
		"npc_dota_hero_rattletrap"                                                                        "Uzay Denizcisi"
		"npc_dota_hero_sand_king"                                                                         "Çöl Ejderi"
		"npc_dota_hero_shadow_shaman"                                                                     "Gölge Avcısı"
		"npc_dota_hero_slardar"                                                                           "Yüzbaşı"
		"npc_dota_hero_sniper"                                                                            "Tüfekçi"
		"npc_dota_hero_storm_spirit"                                                                      "Spirit Master (Fırtına)"
		"npc_dota_hero_sven"                                                                              "Dağ Kralı"
		"npc_dota_hero_terrorblade"                                                                       "Şeytan Avcısı"
		"npc_dota_hero_tinker"                                                                            "Demir Adam"
		"npc_dota_hero_tiny"                                                                              "Taş Devi"
		"npc_dota_hero_ursa"                                                                              "Malfuryon"
		"npc_dota_hero_warlock"                                                                           "Arşimon"
		"npc_dota_hero_windrunner"                                                                        "Korucu"
		"npc_dota_hero_wisp"                                                                              "Kahramanı seçiyorum..."
		"npc_dota_golem_inferno"                                                                          "Cehennem"
		"dark_portal_1"                                                                                   "Karanlık Portal"
		"dark_portal_2"                                                                                   "Karanlık Portal"
		"dark_portal_3"                                                                                   "Karanlık Portal"
		"dark_portal_4"                                                                                   "Karanlık Portal"
		"npc_dota_warlock_spiritual_beast1"                                                               "Ruhsal Canavar"
		"npc_dota_warlock_spiritual_beast2"                                                               "Ruhsal Canavar"
		"npc_dota_warlock_spiritual_beast3"                                                               "Ruhsal Canavar"
		"npc_dota_warlock_spiritual_beast4"                                                               "Ruhsal Canavar"
		"npc_dota_lich_frost_beast"                                                                       "Don Canavarı"
		"npc_dota_doom_golem"                                                                             "Kıyamet Canavarı"
		"npc_water_elemental_1"                                                                           "Su Elementi"
		"npc_water_elemental_2"                                                                           "Su Elementi"
		"npc_water_elemental_3"                                                                           "Su Elementi"
		"npc_water_elemental_4"                                                                           "Su Elementi"
		"serpent_ward_1"                                                                                  "Yılan Koğuşu"
		"serpent_ward_2"                                                                                  "Yılan Koğuşu"
		"serpent_ward_3"                                                                                  "Yılan Koğuşu"
		"serpent_ward_4"                                                                                  "Yılan Koğuşu"
		"laser_trap_1"                                                                                    "Lazer Tuzağı"
		"laser_trap_2"                                                                                    "Lazer Tuzağı"
		"npc_infernal_beast"                                                                              "Cehennem Canavarı"
		"npc_dota_doom_golem_1"                                                                           "Kıyamet Canavarı"
		"npc_dota_doom_golem_2"                                                                           "Kıyamet Canavarı"
		"npc_dota_doom_golem_3"                                                                           "Kıyamet Canavarı"
		"npc_dota_furbolg"                                                                                "Furbolg"
		"npc_avatar_of_vengeance"                                                                         "İntikam Avatarı"
		"npc_spirit_of_vengeance"                                                                         "İntikam Ruhu"
		"npc_dota_creature_watery_minion_1"                                                               "Sulu Minion"
		"npc_dota_creature_watery_minion_2"                                                               "Sulu Minion"
		"npc_dota_creature_watery_minion_3"                                                               "Sulu Minion"
		"npc_dota_creature_watery_minion_4"                                                               "Sulu Minion"
		"npc_dota_creature_phoenix"                                                                       "Anka Kuşu"
		"human_phoenix_egg"                                                                               "Anka Yumurtası"
		"npc_dota_lich_king_sindragosa"                                                                   "Sindragosa"
		"undead_carrion_beetle_1"                                                                         "Böcek"
		"undead_carrion_beetle_2"                                                                         "Böcek"
		"undead_carrion_beetle_3"                                                                         "Böcek"
		"undead_carrion_beetle_4"                                                                         "Böcek"
		"npc_dota_lone_druid_bear1"                                                                       "Mişa"
		"npc_dota_lone_druid_bear2"                                                                       "Mişa"
		"npc_dota_lone_druid_bear3"                                                                       "Mişa"
		"npc_dota_lone_druid_bear4"                                                                       "Mişa"
		"npc_dota_lone_druid_bear5"                                                                       "Mişa"
		"npc_dota_lone_druid_bear6"                                                                       "Mişa"
		"npc_dota_lone_druid_bear7"                                                                       "Mişa"
		"undead_black_arrow_minion_1"                                                                     "Kara Minion"
		"undead_black_arrow_minion_2"                                                                     "Şeytan Minion"
		"undead_black_arrow_minion_3"                                                                     "Hiçlik Minion"
		"npc_dota_dark_king"                                                                              "Karanlık Kral"
		"npc_dota_dungeon_checkpoint"                                                                     "Kontrol noktası"
		"npc_xhs_undead_creep_melee_1"                                                                    "Yakın Dövüş Ölümsüz 1"
		"npc_xhs_elf_creep_melee_1"                                                                       "Yakın Dövüş Elfi 1"
		"npc_xhs_orc_creep_melee_1"                                                                       "Yakın Dövüş Ork 1"
		"npc_xhs_human_creep_melee_1"                                                                     "Yakın Dövüş İnsanı 1"
		"npc_xhs_undead_creep_ranged_1"                                                                   "Menzilli Ölümsüz 1"
		"npc_xhs_elf_creep_ranged_1"                                                                      "Menzilli Elf 1"
		"npc_xhs_orc_creep_ranged_1"                                                                      "Menzilli Ork 1"
		"npc_xhs_human_creep_ranged_1"                                                                    "Menzilli İnsan 1"
		"npc_xhs_undead_creep_melee_2"                                                                    "Yakın Dövüş Ölümsüz 2"
		"npc_xhs_elf_creep_melee_2"                                                                       "Yakın Dövüş Elfi 2"
		"npc_xhs_orc_creep_melee_2"                                                                       "Yakın Dövüş Ork 2"
		"npc_xhs_human_creep_melee_2"                                                                     "Yakın Dövüş İnsanı 2"
		"npc_xhs_undead_creep_ranged_2"                                                                   "Menzilli Ölümsüz 2"
		"npc_xhs_elf_creep_ranged_2"                                                                      "Menzilli Elf 2"
		"npc_xhs_orc_creep_ranged_2"                                                                      "Menzilli Ork 2"
		"npc_xhs_human_creep_ranged_2"                                                                    "Menzilli İnsan 2"
		"npc_xhs_undead_creep_melee_3"                                                                    "Yakın Dövüş Ölümsüz 3"
		"npc_xhs_elf_creep_melee_3"                                                                       "Yakın Dövüş Elfi 3"
		"npc_xhs_orc_creep_melee_3"                                                                       "Yakın Dövüş Ork 3"
		"npc_xhs_human_creep_melee_3"                                                                     "Yakın Dövüş İnsanı 3"
		"npc_xhs_undead_creep_ranged_3"                                                                   "Menzilli Ölümsüz 3"
		"npc_xhs_elf_creep_ranged_3"                                                                      "Menzilli Elf 3"
		"npc_xhs_orc_creep_ranged_3"                                                                      "Menzilli Ork 3"
		"npc_xhs_human_creep_ranged_3"                                                                    "Menzilli İnsan 3"
		"npc_xhs_undead_creep_melee_4"                                                                    "Yakın Dövüş Ölümsüz 4"
		"npc_xhs_elf_creep_melee_4"                                                                       "Yakın Dövüş Elfi 4"
		"npc_xhs_orc_creep_melee_4"                                                                       "Yakın Dövüş Ork 4"
		"npc_xhs_human_creep_melee_4"                                                                     "Yakın Dövüş İnsanı 4"
		"npc_xhs_undead_creep_ranged_4"                                                                   "Menzilli Ölümsüz 4"
		"npc_xhs_elf_creep_ranged_4"                                                                      "Menzilli Elf 4"
		"npc_xhs_orc_creep_ranged_4"                                                                      "Menzilli Ork 4"
		"npc_xhs_human_creep_ranged_4"                                                                    "Menzilli İnsan 4"
		"npc_dota_creature_green_dragon"                                                                  "Yeşil Ejderha"
		"npc_dota_creature_red_dragon"                                                                    "Kızıl Ejderha"
		"npc_dota_creature_blue_dragon"                                                                   "Mavi Ejderha"
		"npc_dota_creature_murloc"                                                                        "Murloc"
		"npc_dota_creature_wildkin"                                                                       "Vahşikin"
		"npc_dota_creature_golem"                                                                         "Kaya Golemi"
		"npc_dota_creature_polar_furbolg"                                                                 "Furbolg"
		"npc_dota_creature_centaur"                                                                       "Centaur Han"
		"npc_dota_creature_razormane"                                                                     "Jiletli"
		"npc_dota_creature_revenant"                                                                      "Buz Canavarı"
		"npc_dota_creature_tuskarr"                                                                       "Tuskarr"
		"npc_dota_creature_satyrr"                                                                        "Satir"
		"xhs_death_revenant"                                                                              "Ölüm İntikamı"
		"xhs_death_revenant_2"                                                                            "Ölüm İntikamı"
		"npc_magnataur_destroyer_crypt"                                                                   "Muhrip Magnataur"
		"npc_frost_infernal"                                                                              "Don Cehennemi"
		"npc_frost_infernal_bis"                                                                          "Don Cehennemi"
		"npc_spirit_beast"                                                                                "Ruh Canavarı"
		"npc_spirit_beast_bis"                                                                            "Ruh Canavarı"
		"npc_ramero"                                                                                      "Ramero"
		"npc_ramero_bis"                                                                                  "Ramero"
		"npc_baristol"                                                                                    "Baristol"
		"npc_baristol_bis"                                                                                "Baristol"
		"npc_ramero_2"                                                                                    "Sogat"
		"npc_knight_final_wave"                                                                           "Şövalye"
		"npc_captain_final_wave"                                                                          "Kaptan"
		"npc_marine_final_wave"                                                                           "Denizcilik"
		"npc_tauren_final_wave"                                                                           "Tauren"
		"npc_druid_final_wave"                                                                            "Büyücü"
		"npc_necro_final_wave"                                                                            "Büyücü"
		"npc_abomination_final_wave"                                                                      "Kasap"
		"npc_luna_final_wave"                                                                             "Elf Menzilli Savaşçı"
		"npc_warlock_final_wave"                                                                          "Büyücü"
		"npc_keeper_final_wave"                                                                           "Kaleci"
		"npc_magnataur_final_wave"                                                                        "Magnataur"
		"npc_orc_raider_final_wave"                                                                       "Ork Baskıncısı"
		"npc_banshee_final_wave"                                                                          "Ölüm perisi"
		"npc_guard_final_wave"                                                                            "Elf Muhafızı"
		"npc_chaos_orc_final_wave"                                                                        "Kaos Ork"
		"npc_dota_hero_balanar_final_wave"                                                                "Balanar"
		"npc_dota_hero_illidan_final_wave"                                                                "Illidan"
		"npc_dota_hero_grom_hellscream_final_wave"                                                        "Grom Hellscream"
		"npc_dota_hero_proudmoore_final_wave"                                                             "Amiral Proudmoore"
		"npc_dota_hero_magtheridon_small"                                                                 "Küçük Magtheridon"
		"npc_dota_hero_magtheridon_medium"                                                                "Orta Magtheridon"
		"npc_dota_hero_magtheridon"                                                                       "Magtheridon"
		"npc_dota_creep_radiant_hulk"                                                                     "Karanlık Koruyucular"
		"npc_dota_creep_dire_hulk"                                                                        "Karanlık Koruyucular"
		"npc_dota_hero_grom_hellscream"                                                                   "Grom Hellscream"
		"npc_dota_hero_grom_hellscream_clone"                                                             "Grom Hellscream"
		"npc_dota_hero_balanar"                                                                           "Balanar"
		"npc_dota_hero_illidan"                                                                           "Illidan"
		"npc_dota_hero_proudmoore"                                                                        "Amiral Proudmoore"
		"npc_dota_hero_arthas"                                                                            "Arthas"
		"npc_death_revenant_banehallow"                                                                   "Derin Lord Gelirenler"
		"npc_dota_hero_banehallow"                                                                        "Banehallow"
		"npc_dota_boss_lich_king"                                                                         "Lich King"
		"npc_dota_boss_spirit_master"                                                                     "Spirit Master"
		"npc_dota_boss_spirit_master_storm"                                                               "Fırtına Ruhu"
		"npc_dota_boss_spirit_master_earth"                                                               "Toprak Ruhu"
		"npc_dota_boss_spirit_master_fire"                                                                "Ateş Ruhu"
		"npc_dota_creature_necrolyte_event_1"                                                             "Kurbağa Büyücüsü"
		"npc_dota_creature_naga_siren_event_2"                                                            "Kadim Kurbağa Büyücüsü"
		"npc_dota_creature_vengeful_spirit_event_3"                                                       "Kurbağa Yavrusu Avcı Uçağı"
		"npc_dota_creature_captain_event_4"                                                               "Kobold'un Kaptanı"
		"npc_dota_creature_slardar_event_5"                                                               "Korkunç worg"
		"npc_dota_creature_chaos_knight_event_6"                                                          "Orman Avcısı"
		"npc_dota_creature_luna_event_7"                                                                  "Gnoll Glaiverower"
		"npc_dota_creature_clockwerk_event_8"                                                             "Taş Gargoyle"
		"npc_dota_hero_secret"                                                                            "Yerçekimi Lordu"
		"npc_dota_creature_muradin_bronzebeard"                                                           "Muradin Bronzebeard"
		"DOTA_Tooltip_Ability_roshan_stormbolt"                                                           "Fırtına Oku"
		"DOTA_Tooltip_Ability_roshan_stormbolt_bolt_stun_duration"                                        "ŞOKLAMA SÜRESİ:"
		"DOTA_Tooltip_ability_furbolg_earthshock"                                                         "Deprem"
		"DOTA_Tooltip_ability_furbolg_earthshock_Description"                                             "Yere çarparak hasar verir ve yarıçap içindeki düşman birimlerini yavaşlatır."
		"DOTA_Tooltip_ability_furbolg_earthshock_shock_radius"                                            "YARIÇAP:"
		"DOTA_Tooltip_ability_furbolg_earthshock_movement_slow"                                           "HAREKET YAVAŞ:"
		"DOTA_Tooltip_ability_creature_death_pulse"                                                       "Ölüm Nabzı"
		"DOTA_Tooltip_ability_serpent_splash_arrows"                                                      "Sıçrama Saldırısı"
		"DOTA_Tooltip_modifier_unholy_Description"                                                        "Hareket hızını ve Saldırı Hızını artırın"
		"DOTA_Tooltip_ability_creature_aura_of_blight"                                                    "Felaket Aurası"
		"DOTA_Tooltip_ability_creature_aura_of_blight_Description"                                        "Tüm dost birimlere isabet puanı yenilenmesi için bir bonus verir."
		"DOTA_Tooltip_ability_creature_aura_of_blight_aura_radius"                                        "YARIÇAP:"
		"DOTA_Tooltip_ability_creature_aura_of_blight_bonus_health_regen"                                 "SAĞLIK YENİLENMESİ:"
		"DOTA_Tooltip_ability_creature_starfall"                                                          "Yıldız düşüşü"
		"DOTA_Tooltip_ability_creature_starfall_Description"                                              "Gökyüzünden füzeler yağdırarak, çevredeki yakındaki tüm düşman birimlerine hasar verir."
		"DOTA_Tooltip_ability_creature_starfall_starfall_radius"                                          "YARIÇAP:"
		"DOTA_Tooltip_ability_creature_starfall_starfall_secondary_radius"                                "İKİNCİL YARIÇAP:"
		"DOTA_Tooltip_ability_creature_war_stomp"                                                         "Savaş Ezmesi"
		"DOTA_Tooltip_ability_creature_war_stomp_Description"                                             "Yere çarparak yakındaki düşman birimlerini sersemletir ve hasar verir."
		"DOTA_Tooltip_ability_creature_war_stomp_radius"                                                  "YARIÇAP:"
		"DOTA_Tooltip_ability_creature_war_stomp_stun_duration"                                           "ŞOKLAMA SÜRESİ:"
		"DOTA_Tooltip_ability_creature_war_stomp_stomp_damage"                                            "HASAR:"
		"DOTA_Tooltip_ability_creature_howling_blast"                                                     "Uluyan Patlama"
		"DOTA_Tooltip_ability_creature_howling_blast_Description"                                         "Hasarın geri dönmesine neden olur Lich King Saldırganlar.Saldıran düşmanlar Lich King Rootlanma şansı var."
		"DOTA_Tooltip_ability_creature_howling_blast_Lore"                                                "Gerçekliğin dikişlerine doğru kıvrılarak, Lich King Açık nefret, onun iradesine karşı gelenleri felç eder."
		"DOTA_Tooltip_ability_creature_howling_blast_radius"                                              "YARIÇAP:"
		"DOTA_Tooltip_ability_creature_howling_blast_ensnare_duration"                                    "ENSNARE SÜRESİ:"
		"DOTA_Tooltip_ability_creature_howling_blast_ensnare_damage"                                      "ENSNARE HASARI:"
		"DOTA_Tooltip_ability_creature_howling_blast_ensnare_chance"                                      "%ENSNARE ŞANSI:"
		"DOTA_Tooltip_ability_creature_firestorm"                                                         "Ateş fırtınası"
		"DOTA_Tooltip_ability_creature_firestorm_Description"                                             "Önünde büyük miktarda dalga ateşleri oluşturarak çok yüksek hasar verir."
		"DOTA_Tooltip_ability_creature_firestorm_wave_interval"                                           "DALGA ARALIĞI:"
		"DOTA_Tooltip_ability_creature_firestorm_wave_count"                                              "DALGA SAYISI:"
		"DOTA_Tooltip_ability_creature_firestorm_wave_damage"                                             "DALGA HASARI:"
		"DOTA_Tooltip_ability_creature_firestorm_burn_damage"                                             "%YANIK HASARI:"
		"DOTA_Tooltip_ability_creature_firestorm_burn_duration"                                           "YANMA SÜRESİ:"
		"DOTA_Tooltip_ability_creature_firestorm_radius"                                                  "YARIÇAP:"
		"DOTA_Tooltip_ability_creature_thunder_clap"                                                      "Gök gürültüsü alkışı"
		"DOTA_Tooltip_ability_creature_thunder_clap_Description"                                          "Belirli bir alandaki tüm düşman birimlerini sersemletir, saldırı hızını ve hareket hızını azaltır."
		"DOTA_Tooltip_ability_creature_thunder_clap_damage"                                               "HASAR:"
		"DOTA_Tooltip_ability_creature_thunder_clap_radius"                                               "YARIÇAP:"
		"DOTA_Tooltip_ability_creature_thunder_clap_duration"                                             "SÜRE:"
		"DOTA_Tooltip_ability_creature_thunder_clap_movement_slow"                                        "%HAREKET YAVAŞ:"
		"DOTA_Tooltip_ability_creature_thunder_clap_attack_speed_slow"                                    "SALDIRI HIZI YAVAŞLAMASI:"
		"DOTA_Tooltip_ability_xhs_creeps_phase_2_unholy_aura"                                             "Kutsal olmayan Aura"
		"DOTA_Tooltip_ability_xhs_creeps_phase_2_unholy_aura_Description"                                 "Yakındaki dost birimlerin hareket hızını ve HP Yenilenmesini artırır."
		"DOTA_Tooltip_ability_xhs_creeps_phase_2_unholy_aura_bonus_movement_speed"                        "%BONUS HAREKET HIZI:"
		"DOTA_Tooltip_ability_xhs_creeps_phase_2_unholy_aura_bonus_health_regen"                          "BONUS SAĞLIK YENİLENMESİ:"
		"DOTA_Tooltip_ability_xhs_creeps_phase_2_unholy_aura_radius"                                      "YARIÇAP:"
		"DOTA_Tooltip_ability_creature_thunder_clap_low"                                                  "Gök gürültüsü alkışı"
