"lang"
{
	"Language"	"Vietnamese"
		"DOTA_Tooltip_ability_holdout_mechanism_bonus_armor"                                              "GIÁP THƯỞNG:"
		"DOTA_Tooltip_ability_holdout_mechanism_radius"                                                   "BÁN KÍNH:"
		"DOTA_Tooltip_ability_holdout_mechanism_health_regen"                                             "PHỤC HỒI SỨC KHỎE:"
		"DOTA_Tooltip_ability_holdout_mechanism_heal_amount"                                              "SỐ LƯỢNG HỒI PHỤC:"
		"DOTA_Tooltip_ability_holdout_mechanism_heal_armor_duration"                                      "THỜI GIAN GIÁP THƯỞNG:"
		"DOTA_Tooltip_ability_holdout_light_stand"                                                        "Chân đèn"
		"DOTA_Tooltip_ability_holdout_light_stand_Description"                                            "Chữa lành Ánh sáng Cơ bản bất cứ khi nào anh ta nhận sát thương chí mạng.<font color='#FF7800'> Tăng cấp nhân giá trị Hồi máu cơ bản với Cấp độ của Cơ bản Ánh sáng!</font>"
		"DOTA_Tooltip_ability_holdout_light_stand_Note0"                                                  "Hồi máu 1000 * cấp độ anh hùng + phần trăm máu của anh hùng."
		"DOTA_Tooltip_ability_holdout_light_stand_Lore"                                                   "Các linh mục của Omniscience rất giỏi trong việc loại bỏ tạp chất khỏi các chiến binh."
		"DOTA_Tooltip_ability_holdout_light_stand_heal_base"                                              "HỒI MÁU CƠ BẢN:"
		"DOTA_Tooltip_ability_holdout_light_stand_heal_pct"                                               "%THƯỞNG HỒI PHỤC:"
		"DOTA_Tooltip_ability_holdout_light_stand_damage_factor"                                          "% THIỆT HẠI:"
		"DOTA_Tooltip_ability_holdout_light_stand_radius"                                                 "BÁNH THIỆT HẠI:"
		"DOTA_Tooltip_modifier_light_stand_dummy"                                                         "Chân đèn"
		"DOTA_Tooltip_modifier_light_stand_dummy_Description"                                             "Cứu Ánh sáng Cơ bản khỏi cái chết, tự chữa lành vết thương và gây sát thương cho kẻ địch ở gần với 1000 * phần trăm cấp độ của Ánh sáng Cơ bản * Ánh sáng Cơ bản."
		"DOTA_Tooltip_ability_holdout_sacred_pool"                                                        "Bể thiêng"
		"DOTA_Tooltip_ability_holdout_sacred_pool_Description"                                            "Gây 1% máu tối đa của mục tiêu thành sát thương thuần túy và hồi máu cho đồng đội từ 5% máu tối đa của họ."
		"DOTA_Tooltip_ability_holdout_sacred_pool_radius"                                                 "BÁN KÍNH:"
		"DOTA_Tooltip_ability_holdout_sacred_pool_damage_percent"                                         "% THIỆT HẠI:"
		"DOTA_Tooltip_ability_holdout_sacred_pool_heal_percent"                                           "%HỎE:"
		"DOTA_Tooltip_ability_holdout_sacred_pool_duration"                                               "THỜI GIAN:"
		"DOTA_Tooltip_ability_holdout_skin_changer_warrior"                                               "Người Thay Đổi Da (Chiến Binh)"
		"DOTA_Tooltip_ability_holdout_skin_changer_warrior_Description"                                   "Gọi lại Cơ bản Ánh sáng về Mặt phẳng Cơ bản, thay vào đó sinh ra Cơ bản Bóng tối.\n<font color='#FF7800'> CẢNH BÁO: Loại bỏ tất cả các debuff tích cực và tiêu cực.</font>"
		"DOTA_Tooltip_ability_holdout_skin_changer_warrior_bonus_movespeed"                               "DI CHUYỂN CHẬM:"
		"DOTA_Tooltip_ability_holdout_skin_changer_warrior_transformation_time"                           "THỜI GIAN CHUYỂN ĐỔI:"
		"DOTA_Tooltip_modifier_skin_changer_warrior"                                                      "Người Thay Đổi Da (Chiến Binh)"
		"DOTA_Tooltip_modifier_skin_changer_warrior_Description"                                          "Trao đổi anh hùng với một chiến binh."
		"DOTA_Tooltip_ability_holdout_guardian_angel"                                                     "Triệu hồi thiên thần hộ mệnh"
		"DOTA_Tooltip_ability_holdout_guardian_angel_Description"                                         "Triệu hồi các Thiên thần hộ mệnh giúp miễn nhiễm sát thương vật lý và tăng đáng kể khả năng hồi phục điểm đánh của các đồng minh ở gần.Các Thiên thần hộ mệnh sẽ chiến đấu với các đơn vị kẻ địch ở gần nhưng không thể bị điều khiển bởi bất kỳ người chơi nào."
		"DOTA_Tooltip_ability_holdout_guardian_angel_Lore"                                                "Tất cả những ai nhìn thấy đều từ bỏ sự bảo vệ của mình đối với những người theo chủ nghĩa thuần túy gọi là bạn."
		"DOTA_Tooltip_ability_holdout_guardian_angel_Note0"                                               "Ảnh hưởng đến đồng minh với khả năng miễn nhiễm phép thuật."
		"DOTA_Tooltip_ability_holdout_guardian_angel_Note1"                                               "Có thể được thanh lọc."
		"DOTA_Tooltip_ability_holdout_guardian_angel_duration"                                            "THỜI GIAN:"
		"DOTA_Tooltip_ability_holdout_guardian_angel_health_regen"                                        "PHỤC HỒI SỨC KHỎE:"
		"DOTA_Tooltip_ability_holdout_guardian_angel_radius"                                              "BÁN KÍNH:"
		"DOTA_Tooltip_ability_holdout_guardian_angel_angel_damage"                                        "THIỆT HẠI THIÊN THẦN:"
		"DOTA_Tooltip_ability_holdout_guardian_angel_notes"                                               "Ghi chú:\n\nẢnh hưởng đến đồng minh với Magic Immunity."
		"DOTA_Tooltip_ability_holdout_shadow_bolt"                                                        "Tia chớp"
		"DOTA_Tooltip_ability_holdout_shadow_bolt_Description"                                            "Ném một cuộn dây tử thần vào một đơn vị kẻ địch mục tiêu, gây sát thương và làm choáng nó.Mỗi Soul Harvested tăng sát thương Shadow Bolt thêm 2%."
		"DOTA_Tooltip_ability_holdout_shadow_bolt_blast_stun_duration"                                    "THỜI GIAN:"
		"DOTA_Tooltip_ability_holdout_corruption"                                                         "tham nhũng"
		"DOTA_Tooltip_ability_holdout_corruption_Description"                                             "Phá hủy các linh hồn khỏi thế giới chết chóc ở ba khoảng cách.Mỗi Soul Harvested tăng sát thương Corruption thêm 2% và bán kính san bằng mỗi lần tăng thêm 5."
		"DOTA_Tooltip_ability_holdout_corruption_raze_amount"                                             "SỐ LINH HỒN:"
		"DOTA_Tooltip_ability_holdout_corruption_shadowraze_radius"                                       "BÁNH TÂM LINH HỒN:"
		"DOTA_Tooltip_ability_holdout_corruption_shadowraze_range1"                                       "LINH HỒN 1 KHOẢNG CÁCH:"
		"DOTA_Tooltip_ability_holdout_corruption_shadowraze_range2"                                       "LINH HỒN 2 KHOẢNG CÁCH:"
		"DOTA_Tooltip_ability_holdout_corruption_shadowraze_range3"                                       "LINH HỒN 3 KHOẢNG CÁCH:"
		"DOTA_Tooltip_ability_holdout_corruption_radius_inc_per_raze"                                     "KHOẢNG CÁCH GIỮA CÁC LINH HỒN:"
		"DOTA_Tooltip_ability_holdout_corruption_raze_damage"                                             "THIỆT HẠI LINH HỒN:"
		"DOTA_Tooltip_ability_holdout_malefice_aura"                                                      "Hào quang Malefice"
		"DOTA_Tooltip_ability_holdout_malefice_aura_Description"                                          "Tăng Kháng phép của đồng minh và giảm Kháng phép của kẻ thù.Mỗi Linh hồn được thu hoạch sẽ làm giảm thêm 0,5% Kháng phép của kẻ thù."
		"DOTA_Tooltip_ability_holdout_malefice_aura_bonus_mr"                                             "%THƯỞNG KỲ THUẬT:"
		"DOTA_Tooltip_ability_holdout_malefice_aura_reduction_mr"                                         "GIẢM GIÁ % KỲ THUẬT:"
		"DOTA_Tooltip_ability_holdout_malefice_aura_radius"                                               "BÁN KÍNH:"
		"DOTA_Tooltip_modifier_reduction_mr_buff"                                                         "Hào quang Malefice"
		"DOTA_Tooltip_modifier_reduction_mr_buff_Description"                                             "Kháng phép thuật giảm."
		"DOTA_Tooltip_ability_holdout_consuming_flame"                                                    "Tiêu thụ ngọn lửa"
		"DOTA_Tooltip_ability_holdout_consuming_flame_Description"                                        "Thiêu rụi kẻ thù ở gần và chữa lành vết thương phép thuật cho người thi triển.Mỗi Thu hoạch Linh hồn cấp thêm 0,5% khả năng hút máu phép thuật."
		"DOTA_Tooltip_ability_holdout_consuming_flame_damage_per_tick"                                    "SÁT THƯƠNG:"
		"DOTA_Tooltip_ability_holdout_consuming_flame_radius"                                             "BÁN KÍNH:"
		"DOTA_Tooltip_ability_holdout_consuming_flame_hero_lifesteal"                                     "HẤP DẪN % HERO:"
		"DOTA_Tooltip_ability_holdout_consuming_flame_creep_lifesteal"                                    "HẤP DẪN %CREEP:"
		"DOTA_Tooltip_ability_holdout_soul_harvest"                                                       "Thu hoạch linh hồn"
		"DOTA_Tooltip_ability_holdout_soul_harvest_Description"                                           "Đánh dấu và làm chậm kẻ địch không phải Cổ đại ở gần.Kẻ địch bị đánh dấu sẽ phát nổ khi chết và nhận được một Thu hoạch Linh hồn.Linh hồn trao quyền cho phần còn lại của bộ trang bị của Dark Summoner;mỗi ngăn xếp hết hạn một cách độc lập."
		"DOTA_Tooltip_ability_holdout_soul_harvest_duration"                                              "THỜI GIAN ĐÁNH DẤU:"
		"DOTA_Tooltip_ability_holdout_soul_harvest_radius"                                                "Bán kính đúc:"
		"DOTA_Tooltip_ability_holdout_soul_harvest_move_slow_pct"                                         "% CHUYỂN ĐỘNG CHẬM:"
		"DOTA_Tooltip_ability_holdout_soul_harvest_explosion_radius"                                      "BÁN KÍN NỔ:"
		"DOTA_Tooltip_ability_holdout_soul_harvest_base_damage"                                           "THIỆT HẠI CƠ BẢN:"
		"DOTA_Tooltip_ability_holdout_soul_harvest_max_health_damage_pct"                                 "% MÁU TỐI ĐA LÀ SÁT THƯƠNG:"
		"DOTA_Tooltip_ability_holdout_soul_harvest_max_bonus_damage"                                      "GIỚI HẠN SỨC KHỎE TỐI ĐA:"
		"DOTA_Tooltip_ability_holdout_soul_harvest_soul_stack_cap"                                        "LINH HỒN TỐI ĐA:"
		"DOTA_Tooltip_ability_holdout_soul_harvest_soul_stack_duration"                                   "THỜI GIAN LINH HỒN:"
		"DOTA_Tooltip_ability_holdout_soul_harvest_shadow_bolt_damage_per_soul"                           "% THIỆT HẠI BÓNG TỐI MỖI LINH HỒN:"
		"DOTA_Tooltip_ability_holdout_soul_harvest_corruption_damage_per_soul"                            "% THIỆT HẠI THAM NHŨNG MỖI LINH HỒN:"
		"DOTA_Tooltip_ability_holdout_soul_harvest_corruption_radius_per_soul"                            "BÁN KÍNH THAM NHŨNG MỖI LINH HỒN:"
		"DOTA_Tooltip_ability_holdout_soul_harvest_malefice_reduction_per_soul"                           "% GIẢM ÁC TỘC MỖI LINH HỒN:"
		"DOTA_Tooltip_ability_holdout_soul_harvest_consuming_flame_lifesteal_per_soul"                    "% HẤP DẪN MỖI LINH HỒN:"
		"DOTA_Tooltip_ability_holdout_soul_harvest_dark_king_souls_per_extra"                             "LINH HỒN MỖI VUA TỐI THÊM:"
		"DOTA_Tooltip_modifier_holdout_souls_harvested"                                                   "thu hoạch linh hồn"
		"DOTA_Tooltip_modifier_holdout_souls_harvested_Description"                                       "Mỗi linh hồn sẽ trao quyền cho Shadow Bolt, Corruption, Malefice Aura, Consuming Flame và Summon Dark King.Mỗi ngăn xếp sẽ hết hạn độc lập sau 20 giây."
		"DOTA_Tooltip_modifier_holdout_soul_malefice_amp"                                                 "Malefice sâu thẳm tâm hồn"
		"DOTA_Tooltip_modifier_holdout_soul_malefice_amp_Description"                                     "Kháng phép còn bị giảm thêm bởi Thu hoạch Linh hồn hiện tại của Người triệu hồi Bóng tối."
		"DOTA_Tooltip_ability_holdout_dark_king"                                                          "Triệu hồi Vua bóng tối"
		"DOTA_Tooltip_ability_holdout_dark_king_Description"                                              "Triệu hồi Dark Kings từ địa ngục, gây sát thương và làm choáng kẻ địch trong một khu vực.Triệu hồi thêm một Vua bóng tối cho mỗi 5 Linh hồn được thu hoạch."
		"DOTA_Tooltip_ability_holdout_dark_king_radius"                                                   "BÁN KÍNH:"
		"DOTA_Tooltip_ability_holdout_dark_king_infernal_duration"                                        "THỜI GIAN VUA TỐI:"
		"DOTA_Tooltip_ability_holdout_dark_king_stun_hero_duration"                                       "THỜI GIAN CHOÁNH ANH HÙNG:"
		"DOTA_Tooltip_ability_holdout_dark_king_stun_creep_duration"                                      "THỜI GIAN LÒNG CHOÁNG:"
		"DOTA_Tooltip_ability_holdout_dark_king_inferno_count"                                            "SỐ LƯỢNG VUA TỐI:"
		"DOTA_Tooltip_ability_holdout_negative_energy"                                                    "Năng lượng tiêu cực"
		"DOTA_Tooltip_ability_holdout_negative_energy_Description"                                        "Gửi một tia năng lượng tiêu cực, gây sát thương cho đơn vị mục tiêu."
		"DOTA_Tooltip_ability_holdout_negative_energy_Note0"                                              "Kỹ năng này không ảnh hưởng đến các đơn vị cơ khí."
		"DOTA_Tooltip_ability_holdout_negative_energy_damage"                                             "SÁT THƯƠNG:"
		"DOTA_Tooltip_ability_holdout_negative_energy_damage_delay"                                       "TRÌ HOÃN THIỆT HẠI:"
		"DOTA_Tooltip_ability_holdout_active_immolation"                                                  "Thiêu sống"
		"DOTA_Tooltip_ability_holdout_active_immolation_Description"                                      "Nhấn chìm Thợ săn quỷ trong ngọn lửa, gây sát thương cho các đơn vị địch gần đó."
		"DOTA_Tooltip_ability_holdout_active_immolation_Lore"                                             "Trong số các nghi lễ được học ở Isle of Masks, việc chăm sóc vết thương bằng một chút ma thuật tà thuật đã được chứng minh là khá hữu ích."
		"DOTA_Tooltip_ability_holdout_active_immolation_Note0"                                            "Thiêu đốt tiêu hao năng lượng cho đến khi ngừng hoạt động hoặc không đủ năng lượng."
		"DOTA_Tooltip_ability_holdout_active_immolation_damage_per_tick"                                  "SÁT THƯƠNG MỖI GIÂY:"
		"DOTA_Tooltip_ability_holdout_active_immolation_radius"                                           "BÁN KÍNH:"
		"DOTA_Tooltip_ability_xhs_vampiric_aura"                                                          "Hào quang ma cà rồng"
		"DOTA_Tooltip_ability_xhs_vampiric_aura_Description"                                              "Các đơn vị đồng minh ở gần sẽ nhận được điểm đánh khi đánh trúng đơn vị địch.\n<font color='#FF7800'>CẢNH BÁO: Không cộng dồn với các nguồn hút máu khác.</font>"
		"DOTA_Tooltip_ability_xhs_vampiric_aura_aura_radius"                                              "BÁN KÍNH:"
		"DOTA_Tooltip_ability_xhs_vampiric_aura_lifesteal_pct"                                            "%HẤP DẪN:"
		"DOTA_Tooltip_modifier_xhs_vampiric"                                                              "Hào quang ma cà rồng"
		"DOTA_Tooltip_modifier_xhs_vampiric_Description"                                                  "Cung cấp hào quang Lifesteal cho các đồng minh ở gần."
		"DOTA_Tooltip_ability_holdout_illidan_evasion"                                                    "Trốn tránh"
		"DOTA_Tooltip_ability_holdout_illidan_evasion_Description"                                        "Cung cấp một phần trăm cơ hội để tránh các cuộc tấn công."
		"DOTA_Tooltip_ability_holdout_illidan_evasion_Lore"                                               "'Thành quả của kỷ luật;luyện tập sẽ dẫn tới sự trốn tránh.'"
		"DOTA_Tooltip_ability_holdout_illidan_evasion_bonus_evasion"                                      "% TRÁNH:"
		"DOTA_Tooltip_ability_holdout_roar"                                                               "gầm lên"
		"DOTA_Tooltip_ability_holdout_roar_Description"                                                   "Tăng sát thương cho đồng đội thêm 25%."
		"DOTA_Tooltip_ability_holdout_roar_bonus_damage_percentage"                                       "% THIỆT HẠI THƯỞNG:"
		"DOTA_Tooltip_ability_holdout_roar_bonus_armor"                                                   "GIÁP THƯỞNG:"
		"DOTA_Tooltip_ability_holdout_roar_duration"                                                      "THỜI GIAN:"
		"DOTA_Tooltip_ability_holdout_metamorphosis"                                                      "biến thái"
		"DOTA_Tooltip_ability_holdout_metamorphosis_Description"                                          "Biến Thợ săn quỷ thành một con quỷ mạnh mẽ với đòn tấn công tầm xa và tốc độ di chuyển tối đa."
		"DOTA_Tooltip_ability_holdout_metamorphosis_duration"                                             "THỜI GIAN:"
		"DOTA_Tooltip_ability_holdout_metamorphosis_transformation_time"                                  "THỜI GIAN CHUYỂN ĐỔI:"
		"DOTA_Tooltip_ability_holdout_metamorphosis_base_attack_time"                                     "THỜI GIAN TẤN CÔNG CƠ BẢN:"
		"DOTA_Tooltip_ability_holdout_metamorphosis_tooltip_attack_range"                                 "PHẠM VI TẤN CÔNG:"
		"DOTA_Tooltip_ability_holdout_metamorphosis_radius"                                               "BÁNH QUAY TẮT:"
		"DOTA_Tooltip_ability_holdout_metamorphosis_cleave_pct"                                           "% THIỆT HẠI TẮT:"
		"DOTA_Tooltip_ability_holdout_metamorphosis_bonus_damage"                                         "% THIỆT HẠI THƯỞNG:"
		"DOTA_Tooltip_ability_holdout_life_steal"                                                         "Đánh cắp cuộc sống"
		"DOTA_Tooltip_ability_holdout_life_steal_Description"                                             "Đạt được điểm nhấn khi tấn công đơn vị kẻ thù."
		"DOTA_Tooltip_ability_holdout_life_steal_lifesteal"                                               "%HẤP DẪN:"
		"DOTA_Tooltip_ability_holdout_slow_pool"                                                          "Hồ bơi chậm"
		"DOTA_Tooltip_ability_holdout_slow_pool_Description"                                              "Làm chậm kẻ địch trong một khu vực cụ thể, gây sát thương/giây."
		"DOTA_Tooltip_ability_holdout_slow_pool_damage"                                                   "SÁT THƯƠNG:"
		"DOTA_Tooltip_ability_holdout_slow_pool_duration"                                                 "THỜI GIAN:"
		"DOTA_Tooltip_ability_holdout_slow_pool_radius"                                                   "BÁN KÍNH:"
		"DOTA_Tooltip_ability_holdout_slow_pool_movement_slow_pct"                                        "% CHUYỂN ĐỘNG CHẬM:"
		"DOTA_Tooltip_ability_holdout_divine_aura"                                                        "Hào quang thần thánh"
		"DOTA_Tooltip_ability_holdout_divine_aura_Description"                                            "Tăng tốc độ di chuyển, Tốc độ tấn công, Giáp và Hồi máu cho các đơn vị đồng minh gần đó."
		"DOTA_Tooltip_ability_holdout_divine_aura_Note0"                                                  "CHỈ cộng dồn với Hào quang sức chịu đựng!"
		"DOTA_Tooltip_ability_holdout_divine_aura_bat_reduction"                                          "GIẢM BAT:"
		"DOTA_Tooltip_ability_holdout_divine_aura_bonus_movement_speed_percentage"                        "% TỐC ĐỘ CHUYỂN ĐỘNG:"
		"DOTA_Tooltip_ability_holdout_divine_aura_bonus_armor"                                            "GIÁP THƯỞNG:"
		"DOTA_Tooltip_ability_holdout_divine_aura_bonus_health_regen"                                     "THƯỞNG PHỤC HỒI SỨC KHỎE:"
		"DOTA_Tooltip_ability_holdout_divine_aura_radius"                                                 "BÁN KÍNH:"
		"DOTA_Tooltip_ability_holdout_kobold_army"                                                        "Quân đội Kobold"
		"DOTA_Tooltip_ability_holdout_kobold_army_Description"                                            "Tạo ra các bản sao hoàn hảo của Kobold Knight, có thể sử dụng vật phẩm và khả năng.Kéo dài 40 giây."
		"DOTA_Tooltip_ability_holdout_kobold_army_kobold_count"                                           "SỐ LƯỢNG KOBO:"
		"DOTA_Tooltip_ability_holdout_kobold_army_duration"                                               "THỜI GIAN:"
		"DOTA_Tooltip_ability_holdout_death_coil_alt"                                                     "Cuộn dây tử thần"
		"DOTA_Tooltip_ability_holdout_death_coil_alt_Description"                                         "Lich King giải phóng một làn sóng chết chóc xung quanh mình, gây sát thương cho đơn vị địch và chữa lành vết thương cho đơn vị đồng minh."
		"DOTA_Tooltip_ability_holdout_death_coil_alt_Note0"                                               "Có thể né được."
		"DOTA_Tooltip_ability_holdout_death_coil_alt_target_damage"                                       "SÁT THƯƠNG:"
		"DOTA_Tooltip_ability_holdout_death_coil_alt_heal_amount"                                         "CHỮA LÀNH:"
		"DOTA_Tooltip_ability_holdout_death_coil_alt_area_of_effect"                                      "AOE:"
		"DOTA_Tooltip_ability_holdout_howling_blast"                                                      "Tiếng hú nổ"
		"DOTA_Tooltip_ability_holdout_howling_blast_Description"                                          "Gây sát thương dội ngược trở lại Lich King những kẻ tấn công.Kẻ thù tấn công Lich King có cơ hội được root."
		"DOTA_Tooltip_ability_holdout_howling_blast_Lore"                                                 "Xoắn vào các đường nối của thực tế, Lich King sự căm ghét rõ ràng làm tê liệt những ai chống lại ý muốn của anh ta."
		"DOTA_Tooltip_ability_holdout_howling_blast_radius"                                               "BÁN KÍNH:"
		"DOTA_Tooltip_ability_holdout_howling_blast_ensnare_duration"                                     "THỜI GIAN KIỂM SOÁT:"
		"DOTA_Tooltip_ability_holdout_howling_blast_ensnare_damage"                                       "ĐẢM BẢO THIỆT HẠI:"
		"DOTA_Tooltip_ability_holdout_howling_blast_ensnare_chance"                                       "% CƠ HỘI BẪY:"
		"DOTA_Tooltip_ability_holdout_frozen_tempest"                                                     "Bão tố đông lạnh"
		"DOTA_Tooltip_ability_holdout_frozen_tempest_Description"                                         "Tạo ra các làn sóng năng lượng có hại xung quanh Lich King, một lần mỗi giây, để gây sát thương và làm chậm các đơn vị địch ở gần."
		"DOTA_Tooltip_ability_holdout_frozen_tempest_Lore"                                                "Nếu cần thiết, Linh hồn bị dày vò có thể tự điều khiển không gian và thời gian, tàn phá những sinh vật nhỏ hơn."
		"DOTA_Tooltip_ability_holdout_frozen_tempest_radius"                                              "BÁN KÍNH:"
		"DOTA_Tooltip_ability_holdout_frozen_tempest_mana_cost_per_second"                                "MANA/GIÂY:"
		"DOTA_Tooltip_ability_holdout_frozen_tempest_damage"                                              "SÁT THƯƠNG:"
		"DOTA_Tooltip_ability_holdout_frozen_tempest_enemy_slow"                                          "% ĐỐI THỦ CHẬM:"
		"DOTA_Tooltip_ability_holdout_frozen_tempest_enemy_slow_duration"                                 "THỜI GIAN CHẬM:"
		"DOTA_Tooltip_modifier_pulse_nova_datadriven"                                                     "Bão tố đông lạnh"
		"DOTA_Tooltip_modifier_pulse_nova_datadriven_Description"                                         "Frozen Tempest đang hoạt động, gây sát thương và làm chậm các đơn vị địch xung quanh!"
		"DOTA_Tooltip_ability_holdout_icy_heartstopper"                                                   "Băng Giá Trái Tim"
		"DOTA_Tooltip_ability_holdout_icy_heartstopper_Lore"                                              "Hơi thở lạnh giá của Frostmourne nhắm vào cả những người can đảm nhất."
		"DOTA_Tooltip_ability_holdout_icy_heartstopper_Description"                                       "các Lich King tấn công kẻ thù bằng lời nguyền lạnh lùng trong mỗi đòn tấn công, tăng tốc độ di chuyển và tấn công trong một thời gian giới hạn.Đồng thời làm giảm máu của tất cả kẻ thù xung quanh anh ta, dựa trên phần trăm sinh mệnh của chúng."
		"DOTA_Tooltip_ability_holdout_icy_heartstopper_debuff_duration"                                   "THỜI GIAN GỠ BỎ:"
		"DOTA_Tooltip_ability_holdout_icy_heartstopper_buff_duration"                                     "THỜI GIAN Buff:"
		"DOTA_Tooltip_ability_holdout_icy_heartstopper_move_speed_pct"                                    "TỐC ĐỘ DI CHUYỂN % THƯỞNG:"
		"DOTA_Tooltip_ability_holdout_icy_heartstopper_attack_speed"                                      "TỐC ĐỘ ĐÁNH THƯỞNG:"
		"DOTA_Tooltip_ability_holdout_icy_heartstopper_aura_radius"                                       "Bán kính hào quang:"
		"DOTA_Tooltip_ability_holdout_icy_heartstopper_aura_damage"                                       "% THIỆT HẠI AURA:"
		"DOTA_Tooltip_ability_holdout_icy_heartstopper_max_stacks"                                        "CỘNG ĐỒNG TỐI ĐA:"
		"DOTA_Tooltip_modifier_imba_heartstopper_aura_enemy"                                              "Băng Giá Trái Tim"
		"DOTA_Tooltip_modifier_imba_heartstopper_aura_enemy_Description"                                  "Gây sát thương kẻ địch ở gần."
		"DOTA_Tooltip_ability_holdout_frostmourne_innate"                                                 "băng giá"
		"DOTA_Tooltip_ability_holdout_frostmourne_innate_Description"                                     "Cung cấp % cơ hội đánh trúng kẻ địch và gây thêm sát thương.Đồng thời tạo cơ hội để tránh các đòn tấn công."
		"DOTA_Tooltip_ability_holdout_frostmourne_innate_stun_duration"                                   "THỜI GIAN CHOÁNG:"
		"DOTA_Tooltip_ability_holdout_frostmourne_innate_bonus_damage_stun"                               "THIỆT HẠI BASH:"
		"DOTA_Tooltip_ability_holdout_frostmourne_innate_critical_damage"                                 "% THIỆT HẠI QUAN TRỌNG:"
		"DOTA_Tooltip_ability_holdout_frostmourne_innate_evasion_chance"                                  "% TRÁNH:"
		"DOTA_Tooltip_ability_holdout_frostmourne_innate_stun_chance"                                     "%CƠ HỘI CHOÁNG:"
		"DOTA_Tooltip_ability_holdout_sindragosa"                                                         "Triệu hồi Sindragosa"
		"DOTA_Tooltip_ability_holdout_sindragosa_Description"                                             "Gọi Sindragosa từ trên trời xuống, gây sát thương và làm choáng các đơn vị trên bộ của kẻ địch trong một khu vực trong 2 giây.Sindragosa tồn tại trong 60 giây."
		"DOTA_Tooltip_ability_holdout_sindragosa_radius"                                                  "BÁN KÍNH:"
		"DOTA_Tooltip_ability_holdout_sindragosa_infernal_duration"                                       "THỜI GIAN SINDRAGOSA:"
		"DOTA_Tooltip_ability_holdout_sindragosa_stun_hero_duration"                                      "THỜI GIAN CHOÁNH ANH HÙNG:"
		"DOTA_Tooltip_ability_holdout_sindragosa_stun_creep_duration"                                     "THỜI GIAN LÒNG CHOÁNG:"
		"DOTA_Tooltip_ability_holdout_sindragosa_inferno_count"                                           "SỐ SINDRAGOSA:"
		"DOTA_Tooltip_ability_holdout_lordaeron_smash"                                                    "Lordaeron đập vỡ"
		"DOTA_Tooltip_ability_holdout_lordaeron_smash_Description"                                        "Lich King kết nối với Frostmourne hùng mạnh của anh ta, một đòn tấn công chí mạng mạnh đến mức khiến nạn nhân bay lên không trung.Nạn nhân bị chậm lại khi tiếp đất."
		"DOTA_Tooltip_ability_holdout_lordaeron_smash_Lore"                                               "Không quan trọng ai tung cú đánh đầu tiên, chỉ quan trọng ai ném cú cuối cùng."
		"DOTA_Tooltip_ability_holdout_lordaeron_smash_Note0"                                              "Hoạt động hoàn toàn trên các đơn vị miễn dịch phép."
		"DOTA_Tooltip_ability_holdout_lordaeron_smash_crit_multiplier"                                    "SỐ NHÂN % CRIT:"
		"DOTA_Tooltip_ability_holdout_lordaeron_smash_air_time"                                           "THỜI GIAN KHÔNG KHÍ:"
		"DOTA_Tooltip_ability_holdout_lordaeron_smash_slow_duration"                                      "THỜI GIAN CHẬM:"
		"DOTA_Tooltip_ability_holdout_lordaeron_smash_move_slow"                                          "% CHUYỂN ĐỘNG CHẬM:"
		"DOTA_Tooltip_modifier_tusk_walrus_punch"                                                         "Lordaeron đập vỡ"
		"DOTA_Tooltip_modifier_tusk_walrus_punch_Description"                                             "Đơn vị tiếp theo sẽ bị đấm!"
		"DOTA_Tooltip_modifier_tusk_walrus_punch_slow"                                                    "Lordaeron bị đập tan"
		"DOTA_Tooltip_modifier_tusk_walrus_punch_slow_Description"                                        "Bị chậm lại bởi %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%."
		"DOTA_Tooltip_modifier_tusk_walrus_punch_air_time"                                                "Tù binh!"
		"DOTA_Tooltip_ability_holdout_entrangling_roots"                                                  "Rễ vướng víu"
		"DOTA_Tooltip_ability_holdout_entrangling_roots_Description"                                      "Tước vũ khí và trói chân mục tiêu, gây sát thương %dmg_per_sec% thiệt hại mỗi giây cho %duration% giây."
		"DOTA_Tooltip_ability_holdout_entrangling_roots_Note0"                                            "Trường hợp sát thương đầu tiên xảy ra khi sử dụng."
		"DOTA_Tooltip_ability_holdout_entrangling_roots_dmg_per_sec"                                      "SÁT THƯƠNG MỖI GIÂY:"
		"DOTA_Tooltip_ability_holdout_entrangling_roots_duration"                                         "#{DOTA_Tooltip_ability_abaddon_borrowed_time_duration}"
		"DOTA_Tooltip_ability_holdout_entrangling_roots_total_damage_tooltip"                             "TỔNG THIỆT HẠI:"
		"DOTA_Tooltip_ability_holdout_rejuvenation_alt"                                                   "Trẻ hóa"
		"DOTA_Tooltip_ability_holdout_rejuvenation_alt_Description"                                       "Chữa lành vết thương cho đồng minh trong bán kính theo thời gian.kéo dài %duration% giây.Khả năng hồi máu giảm xuống 50% trên các công trình."
		"DOTA_Tooltip_ability_holdout_rejuvenation_alt_Note0"                                             "Creep chỉ được hồi máu bằng 50% giá trị hồi máu."
		"DOTA_Tooltip_ability_holdout_rejuvenation_alt_Note1"                                             "Công trình chỉ được hồi máu bằng 25% giá trị hồi máu."
